customer_id,segment_name,recency_days,frequency_180d,monetary_180d,ticket_count_90d,abandoned_carts_30d
CUST00001,Dormant Customers,107,1,362.73,0,0
CUST00002,Discount-Sensitive,40,1,581.0,1,3
CUST00003,Dormant Customers,171,1,649.98,0,0
CUST00004,Loyal Customers,131,1,1604.04,0,0
CUST00005,Champions,38,3,1781.9,0,1
CUST00006,High-Value but Unhappy,51,4,2989.58,2,1
CUST00007,Discount-Sensitive,3,1,719.33,0,2
CUST00008,Champions,47,3,2449.11,0,0
CUST00009,Discount-Sensitive,31,1,376.85,0,2
CUST00010,Discount-Sensitive,9,1,636.8,0,2
CUST00011,Loyal Customers,1,1,508.08,0,0
CUST00012,Loyal Customers,50,1,978.88,0,0
CUST00013,Champions,61,3,1754.44,0,0
CUST00014,Champions,51,2,1382.39,0,2
CUST00015,Champions,35,2,1523.14,0,1
CUST00016,Dormant Customers,215,0,0.0,0,0
CUST00017,Dormant Customers,286,0,0.0,0,0
CUST00018,Dormant Customers,111,1,329.21,0,0
CUST00019,Champions,9,2,1598.93,0,1
CUST00020,Dormant Customers,368,0,0.0,0,0
CUST00021,At-Risk Customers,77,2,1059.3,1,0
CUST00022,Discount-Sensitive,29,1,454.06,0,2
CUST00023,Discount-Sensitive,21,1,400.98,0,1
CUST00024,Discount-Sensitive,4,1,481.35,0,2
CUST00025,Discount-Sensitive,165,1,517.97,0,1
CUST00026,At-Risk Customers,72,3,3561.39,1,0
CUST00027,Discount-Sensitive,70,1,2128.34,1,1
CUST00028,Dormant Customers,83,1,641.83,0,0
CUST00029,Champions,18,3,1382.04,0,0
CUST00030,High-Value but Unhappy,5,5,2819.98,2,1
CUST00031,Discount-Sensitive,49,1,672.95,0,1
CUST00032,Discount-Sensitive,33,1,694.18,0,1
CUST00033,Champions,12,3,1877.69,1,1
CUST00034,Champions,50,2,1460.21,1,2
CUST00035,Discount-Sensitive,127,1,779.74,0,1
CUST00036,Champions,27,4,1737.33,1,0
CUST00037,Dormant Customers,102,1,435.83,0,0
CUST00038,Champions,51,3,1955.61,1,0
CUST00039,Champions,15,2,1173.55,0,0
CUST00040,Dormant Customers,154,1,634.73,0,0
CUST00041,Loyal Customers,54,1,366.99,0,0
CUST00042,High-Value but Unhappy,87,5,4306.0,2,0
CUST00043,Loyal Customers,24,1,363.01,0,0
CUST00044,Discount-Sensitive,72,1,899.51,0,1
CUST00045,Dormant Customers,96,1,413.75,0,0
CUST00046,Discount-Sensitive,127,1,489.87,0,1
CUST00047,Dormant Customers,204,0,0.0,0,0
CUST00048,Champions,61,4,2450.45,0,1
CUST00049,Discount-Sensitive,8,1,380.83,0,1
CUST00050,Champions,0,2,2026.54,0,0
CUST00051,Discount-Sensitive,210,0,0.0,0,1
CUST00052,Champions,55,2,1820.53,0,1
CUST00053,Champions,25,3,2063.87,1,1
CUST00054,Loyal Customers,6,1,489.85,0,0
CUST00055,Champions,3,3,1308.35,0,1
CUST00056,Champions,9,3,3150.69,1,1
CUST00057,Loyal Customers,136,1,1713.34,0,0
CUST00058,Loyal Customers,42,1,644.61,0,0
CUST00059,Champions,2,2,1447.55,0,0
CUST00060,Dormant Customers,145,1,293.22,0,0
CUST00061,Champions,14,3,1632.4,1,1
CUST00062,Champions,21,3,2295.98,0,1
CUST00063,Dormant Customers,216,0,0.0,0,0
CUST00064,Discount-Sensitive,2,1,654.93,0,3
CUST00065,Loyal Customers,6,1,1911.67,0,0
CUST00066,Discount-Sensitive,320,0,0.0,0,1
CUST00067,Champions,63,2,1246.44,1,0
CUST00068,Dormant Customers,346,0,0.0,0,0
CUST00069,Loyal Customers,29,2,874.47,0,0
CUST00070,Loyal Customers,38,1,542.98,0,0
CUST00071,Loyal Customers,32,1,2062.5,1,0
CUST00072,At-Risk Customers,90,2,1697.84,0,2
CUST00073,Champions,8,2,1150.72,0,0
CUST00074,Discount-Sensitive,7,1,824.34,1,1
CUST00075,Champions,3,3,1287.45,0,1
CUST00076,Champions,20,2,1385.27,0,4
CUST00077,Dormant Customers,109,1,394.32,0,0
CUST00078,Dormant Customers,139,1,894.45,0,0
CUST00079,Dormant Customers,191,0,0.0,0,0
CUST00080,Discount-Sensitive,50,1,1461.68,0,2
CUST00081,Champions,19,5,3417.32,0,1
CUST00082,Discount-Sensitive,254,0,0.0,0,1
CUST00083,Loyal Customers,89,2,806.87,1,1
CUST00084,Discount-Sensitive,167,1,1273.18,0,2
CUST00085,Loyal Customers,14,1,1257.8,0,0
CUST00086,Champions,21,4,1741.15,1,1
CUST00087,Loyal Customers,44,1,933.58,0,0
